words,occurences
dont,[16]
take,[12]
aint,[12]
yeah,[8]
mind,[6]
get,[6]
high,[6]
cause,[5]
whats,[5]
behind,[5]
need,[4]
lie,[4]
nowadays,[4]
shine,[4]
breath,[4]
ease,[4]
cry,[4]
tell,[4]
angel,[4]
sposed,[4]
fly,[4]
askin,[4]
oh,[4]
mine,[4]
stay,[4]
inside,[4]
line,[4]
2009,[4]
know,[4]
door,[4]
thats,[4]
im,[4]
well,[3]
gotta,[3]
life,[3]
see,[3]
lot,[3]
never,[3]
light,[2]
right,[2]
back,[2]
home,[2]
cold,[2]
sometimes,[2]
big,[2]
mhmm,[2]
til,[2]
lookin,[2]
like,[2]
come,[2]
time,[2]
carry,[2]
eric,[1]
okay,[1]
jump,[1]
swim,[1]
dim,[1]
sin,[1]
every,[1]
day,[1]
wake,[1]
breathe,[1]
nice,[1]
easy,[1]
flight,[1]
send,[1]
beamin,[1]
whole,[1]
team,[1]
bout,[1]
figure,[1]
ice,[1]
winter,[1]
wish,[1]
simpler,[1]
route,[1]
instead,[1]
havin,[1]
demon,[1]
house,[1]
ball,[1]
dribble,[1]
bounce,[1]
party,[1]
theyre,[1]
kickin,[1]
isnt,[1]
funny,[1]
make,[1]
money,[1]
buy,[1]
thing,[1]
feel,[1]
ugly,[1]
yea,[1]
muddy,[1]
might,[1]
also,[1]
ask,[1]
smilin,[1]
ive,[1]
felt,[1]
alive,[1]
id,[1]
rather,[1]
peace,[1]
war,[1]
different,[1]
struck,[1]
fuck,[1]
swingin,[1]
finish,[1]
business,[1]
live,[1]
diggin,[1]
hole,[1]
enough,[1]
bury,[1]
soul,[1]
weight,[1]
world,[1]
arm,[1]
scar,[1]
alone,[1]
hurry,[1]
ever,[1]
worry,[1]
even,[1]
730,[1]
runnin,[1]
low,[1]
heart,[1]
unturned,[1]
stone,[1]
pro,[1]
job,[1]
really,[1]
tryna,[1]
start,[1]
believin,[1]
god,[1]
hard,[1]
panic,[1]
sound,[1]
alarm,[1]
