words,occurences
yeah,[84]
know,[14]
oblivion,[12]
get,[8]
go,[6]
could,[6]
see,[6]
dont,[6]
time,[5]
didnt,[5]
night,[4]
home,[4]
though,[4]
like,[4]
feelin,[4]
im,[4]
okay,[3]
switch,[3]
zone,[3]
spendin,[3]
hitchhikin,[3]
fly,[3]
eye,[3]
close,[3]
itd,[3]
kinda,[3]
hard,[3]
thats,[3]
surprise,[3]
find,[3]
aint,[3]
hidin,[3]
move,[3]
foot,[3]
glidin,[3]
slide,[3]
roll,[3]
wall,[3]
remember,[3]
gimme,[3]
self,[3]
love,[3]
tell,[3]
losin,[3]
play,[3]
mhm,[2]
well,[2]
yes,[2]
melt,[2]
cant,[2]
trust,[2]
else,[2]
take,[2]
bullshit,[2]
elsewhere,[2]
care,[2]
hell,[2]
gonna,[2]
alright,[2]
road,[2]
fuck,[2]
must,[2]
high,[2]
world,[2]
chillin,[2]
plus,[2]
beautiful,[2]
around,[2]
let,[2]
really,[2]
oohooh,[2]
dollar,[1]
yep,[1]
climbin,[1]
mm,[1]
swear,[1]
height,[1]
tall,[1]
september,[1]
fall,[1]
medicine,[1]
call,[1]
hot,[1]
enough,[1]
one,[1]
even,[1]
nobody,[1]
treatin,[1]
right,[1]
gon,[1]
might,[1]
also,[1]
readin,[1]
sign,[1]
wow,[1]
mind,[1]
way,[1]
kay,[1]
nice,[1]
light,[1]
lovely,[1]
life,[1]
make,[1]
uh,[1]
family,[1]
tree,[1]
woah,[1]
mercedes,[1]
drive,[1]
crazy,[1]
speedin,[1]
somebody,[1]
save,[1]
good,[1]
lettin,[1]
goooooooo,[1]
missin,[1]
lil,[1]
different,[1]
thinkin,[1]
much,[1]
stuck,[1]
ride,[1]
city,[1]
come,[1]
sun,[1]
set,[1]
quickly,[1]
slow,[1]
connect,[1]
upload,[1]
watch,[1]
spin,[1]
spinnin,[1]
round,[1]
travel,[1]
unknown,[1]
cool,[1]
keep,[1]
sayin,[1]
back,[1]
crib,[1]
45s,[1]
safe,[1]
there,[1]
still,[1]
war,[1]
outside,[1]
spend,[1]
liquored,[1]
morning,[1]
feel,[1]
