words,occurences
yeah,[27]
weekend,[13]
im,[10]
alright,[9]
good,[8]
going,[8]
tonight,[8]
shit,[7]
bitch,[7]
get,[6]
like,[5]
fuck,[5]
uh,[4]
got,[4]
getting,[4]
ill,[4]
everything,[4]
aint,[3]
time,[3]
know,[3]
money,[2]
high,[2]
day,[2]
much,[2]
call,[2]
life,[2]
doctor,[2]
keep,[2]
feeling,[2]
wondering,[2]
make,[2]
hate,[2]
faded,[2]
dont,[2]
lyric,[1]
yo,[1]
little,[1]
bit,[1]
fillin,[1]
pocket,[1]
roll,[1]
around,[1]
run,[1]
system,[1]
filled,[1]
toxin,[1]
ive,[1]
brokenhearted,[1]
deal,[1]
problem,[1]
fucking,[1]
drunk,[1]
obnoxious,[1]
nuttin,[1]
though,[1]
love,[1]
go,[1]
long,[1]
longer,[1]
night,[1]
talk,[1]
wrong,[1]
advice,[1]
light,[1]
help,[1]
healthy,[1]
low,[1]
hell,[1]
tell,[1]
rap,[1]
sellin,[1]
ooh,[1]
new,[1]
jealous,[1]
smokin,[1]
weed,[1]
crib,[1]
watching,[1]
belly,[1]
pain,[1]
causin,[1]
ballin,[1]
everythin,[1]
straight,[1]
chilling,[1]
living,[1]
burning,[1]
away,[1]
conversation,[1]
static,[1]
plate,[1]
lord,[1]
need,[1]
break,[1]
trouble,[1]
sleeping,[1]
battling,[1]
demon,[1]
whats,[1]
thing,[1]
breathing,[1]
fame,[1]
neither,[1]
thinking,[1]
place,[1]
frequent,[1]
people,[1]
see,[1]
livin,[1]
decent,[1]
mean,[1]
g,[1]
fall,[1]
behind,[1]
concubine,[1]
mine,[1]
crazy,[1]
god,[1]
water,[1]
wine,[1]
pausin,[1]
common,[1]
often,[1]
never,[1]
walk,[1]
line,[1]
cross,[1]
t,[1]
dot,[1]
well,[1]
wonderin,[1]
fell,[1]
asleep,[1]
forgot,[1]
die,[1]
goddamn,[1]
poppin,[1]
downer,[1]
drinkin,[1]
powder,[1]
counter,[1]
stuck,[1]
browser,[1]
lonely,[1]
naked,[1]
even,[1]
might,[1]
also,[1]
monday,[1]
think,[1]
tripping,[1]
tuesday,[1]
hittin,[1]
gotta,[1]
hand,[1]
ya,[1]
wednesday,[1]
lit,[1]
witchu,[1]
youre,[1]
staying,[1]
thursday,[1]
sick,[1]
rid,[1]
cause,[1]
friday,[1]
always,[1]
start,[1]
baby,[1]
gon,[1]
haha,[1]
